title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Abraham Lincoln and His Books,William Eleazar Barton,116,Nabu Press,2010-07-30,19.55,2.44,3.5,2,0,0,1,1,0,9781176490840,9781176490840,English,Biography
Southern Homes and Plan Books : The Architectural Legacy of Leila Ross Wilburn,"Susan M. Hunter, Sarah J .Boykin, Margaret Culbertson",280,University of Georgia Press,2018-08-01,44.62,2.38,3.67,3,0,0,1,2,0,9780820351810,9780820351810,English,Biography
Books and Rough Business,Tullio Pironti,232,Red Hen Press,2009-02-15,19.17,2.83,4.5,8,0,0,0,4,4,3590327,9781597091299,English,Biography
A World War 1 Adventure : The Life and Times of Rnas Bomber Pilot Donald E. Harkness,House of Harkness V,582,AuthorHouse,2014-06-24,42.10,0.90,3.5,2,0,1,0,0,1,1355558,9781496914101,English,Biography
Radical Lives Vol I : 15 True Life Stories You Just Won't Be Able to Put Down,"Janet Balcombe, Ray Curle, Bill Subritzky",112,Wild Side Publishing,2017-03-31,14.41,0.49,5,1,0,0,0,0,1,1246568,9780473386580,English,Biography
Little Tyke : The True Story of a Gentle Vegetarian Lioness,Georges H. Westbeau,150,"Theosophical Publishing House,U.S.",1986-03-01,13.69,1.31,4.21,19,1,1,1,6,10,744965,9780835606059,English,Biography
Oprah Winfrey Book : The Biography of Oprah Winfrey,University Press,60,Independently Published,2021-04-20,11.35,0.68,4.11,70,2,4,9,24,31,1304731,9798741310373,English,Biography
La Travesia de Enrique : La arriesgada odisea de un nino en busca de su madre,"Sonia Nazario, Ana V. Ras",416,Random House USA Inc,2006-02-21,17.59,1.41,3.88,14795,258,879,3511,5905,4242,1336922,9780812975802,Spanish,Biography
The Little Book of Bob : Life Lessons from a Streetwise Cat,James Bowen,176,Thomas Dunne Book for St. Martin's Griffin,2020-11-24,12.76,3.24,4.09,757,5,38,161,230,323,1065997,9781250765949,English,Biography
Elon Musk: In His Own Words,B2 Books,160,"Surrey Books,U.S.",2021-08-26,11.06,0.93,3.83,12,0,1,3,5,3,2607601,9781572842984,English,Biography
"The Book of Two Ways: The stunning bestseller about life, death and missed opportunities",Jodi Picoult,432,Hodder & Stoughton,2020-10-20,18.26,0.24,3.66,76556,2510,7017,22391,27002,17636,905941,9781529338065,English,Biography
"I'm Still Here: Black Dignity in a World Made for Whiteness : A bestselling Reese's Book Club pick by 'a leading voice on racial justice' LAYLA SAAD, author of ME AND WHITE SUPREMACY",Austin Channing Brown,192,"Little, Brown Book Group",2020-08-20,15.05,2.45,4.39,64881,1044,1211,5345,21290,35991,332655,9780349014869,English,Biography
A Historical Commentary on Arrian's History of Alexander: Volume I. Books I-III,A. B. Bosworth,412,Oxford University Press,1980-12-11,291.51,99.99,5,3,0,0,0,0,3,2354465,9780198148289,English,Biography
The Republic of Imagination : A Life in Books,Azar Nafisi,352,Penguin Putnam Inc,2015-09-01,16.91,1.59,3.77,1490,43,114,377,567,389,1237998,9780143127789,English,Biography
The BE Book : A Journey Into Miracles and Self-Liberation,Mynoo Maryel,240,Panoma Press,2016-07-22,18.75,6.95,4.67,3,0,0,0,1,2,1597109,9781784520854,English,Biography
Booked! : The Gospel According to our Football Heroes,"John Smith, Dan Trelfer",288,Pitch Publishing Ltd,2018-09-01,24.52,7.48,4,14,0,0,4,6,4,1468381,9781785313936,English,Biography
Message To The People,"Marcus Garvey, Lushena Books",176,Lushena Books,2017-06-09,13.34,0.46,4.58,12,0,1,0,2,9,2226604,9781631827266,English,Biography
Voltaire in Love,"Nancy Mitford, Adam Gopnik",280,"The New York Review of Books, Inc",2012-11-06,17.05,0.95,3.63,412,8,36,137,150,81,727988,9781590175781,English,Biography
Electronically Yours : Vol. I: My Autobiography,Martyn Ware,384,"Little, Brown Book Group",2023-03-14,23.53,0.97,4.03,29,0,0,9,10,10,458641,9780349135151,English,Biography
It's Only Rock 'n' Roll : Thirty Years Married to a Rolling Stone,Jo Wood,336,It Books,2013-05-21,28.41,0.09,3.67,915,23,84,295,279,234,1001137,9780062280619,English,Biography
Chaos as Usual : Conversations About Rainer Werner Fassbinder,"Rainer Werner Fassbinder, Juliane Lorenz",288,Hal Leonard Corporation,2000-04-01,27.45,0.95,3.97,40,0,1,8,22,9,909255,9781557832627,English,Biography
The World's Strongest Librarian : A Book Lover's Adventures,Josh Hanagarne,304,Penguin Putnam Inc,2014-05-06,16.69,1.31,3.8,11784,293,682,3004,4863,2942,478095,9781592408771,English,Biography
I Wanna Be a Producer : How to Make a Killing on Broadway...or Get Killed,John Breglio,320,Hal Leonard Corporation,2016-04-01,29.96,1.54,4.09,43,0,2,10,13,18,905360,9781495045165,English,Biography
Confessions of a Fashionista,Angela Clarke,336,Ebury Publishing,2013-01-17,16.28,0.22,3.9,239,5,18,58,74,84,886830,9780753541197,English,Biography
The Photographer at Sixteen : A BBC RADIO 4 BOOK OF THE WEEK,George Szirtes,240,Quercus Publishing,2022-06-28,8.66,3.84,3.95,114,1,7,27,41,38,431699,9780857058553,English,Biography
"The Book What I Wrote : Eric, Ernie and Me",Eddie Braben,304,Hodder & Stoughton,2005-04-11,10.71,1.69,4.02,82,0,5,14,37,26,990792,9780340833742,English,Biography
Maradona : The Boy. The Rebel. The God.,Guillem Balague,384,Orion Publishing Co,2022-11-22,11.58,0.92,3.71,124,9,5,29,51,30,706561,9781409157779,English,Biography
"In Darkest Africa: v. I : Or, the Quest, Rescue, and Retreat of Emin Pasha, Governor of Equatoria",Henry Morton Stanley,484,Narrative Press,2001-08-01,23.47,4.53,3.54,26,0,3,9,11,3,1202402,9781589760448,English,Biography
Eyewitness: The Rise and Fall of Dorling Kindersley : The Inside Story of a Publishing Phenomenon,Christopher Davis,312,Harriman House Publishing,2009-12-30,11.02,8.38,3.95,22,0,0,5,13,4,776576,9781906659196,English,Biography
"La frontera invisible : si no soñamos, estamos muertos","Kilian Jornet Burgada, JOAN LLUIS QUILIS SARSANEDAS",216,NOW BOOKS,2013-11-11,26.38,0.72,3.74,464,4,33,147,175,105,770458,9788494008986,Spanish,Biography
The Emperor : Downfall of an Autocrat,R. Kapiscinski,164,Random House USA Inc,1998-12-31,15.01,1.99,4.11,7363,53,231,1302,3064,2713,667402,9780679722038,English,Biography
St. Francis and the Animals : A Mother Bird's Story,"Phil Gallery, Sibyl MacKenzie",32,Paraclete Press,2018-10-04,17.06,1.94,4.17,12,0,0,1,8,3,1467154,9781612619736,English,Biography
Carl Theodor Dreyer's Gertrud : The Moving Word,James Schamus,128,University of Washington Press,2008-09-01,25.44,6.56,3.67,6,0,0,2,4,0,889642,9780295988542,English,Biography
Stour Seasons : A Wormingford Book of Days,Ronald Blythe,160,Canterbury Press Norwich,2017-01-01,17.57,4.42,4,8,0,0,3,2,3,695502,9781848258846,English,Biography
