title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Dodge Caravan/Voyager/Town & Country (84 - 95) (Chilton),"Chilton Automotive Books, The Nichols/Chilton, Chilton, Chilton Book Company",320,Haynes Manuals Inc,2001-06-19,32.26,5.74,5,1,0,0,0,0,1,9780801987960,9780801987960,English,"Technology, Engineering"
A History and Description of the Collie or Sheepdog in His British Varieties (A Vintage Dog Books Breed Classic),Rawdon Lee,180,Read Books,2006-02-07,22.68,15.12,5,1,0,0,0,0,1,3738839,9781846640865,English,"Technology, Engineering"
FIDIC Silver Book 2019 : A companion to the 2017 EPC/Turnkey Contract,Jakob Sorensen,240,ICE Publishing,2019-03-25,80.32,0.68,4.5,2,0,0,0,1,1,2088393,9780727764362,English,"Technology, Engineering"
"Knife Making Book for Beginners : A Bladesmithing User Guide to Forging Knives Plus Tips, Tools and Techniques to Get You Started",Luke Wade,136,C.U Publishing LLC,2021-02-02,19.10,3.50,4,1,0,0,0,1,0,2755041,9781952597626,English,"Technology, Engineering"
FIDIC Silver Book 2019 : A companion to the 2017 EPC/Turnkey Contract,Jakob Sorensen,240,ICE Publishing,2019-03-25,80.32,0.68,4.5,2,0,0,0,1,1,2088393,9780727764362,English,"Technology, Engineering"
"Knife Making Book for Beginners : A Bladesmithing User Guide to Forging Knives Plus Tips, Tools and Techniques to Get You Started",Luke Wade,136,C.U Publishing LLC,2021-02-02,19.10,3.50,4,1,0,0,0,1,0,2755041,9781952597626,English,"Technology, Engineering"
How are Planets Named? Planets in the Solar System Science Grade 4 Children's Astronomy & Space Books,Baby Professor,84,Baby Professor,2019-11-22,15.36,8.14,5,1,0,0,0,0,1,9781541949294,9781541949294,English,"Technology, Engineering"
Spot Tests in Organic Analysis,"F. Feigl, V. Anger",804,Elsevier Science & Technology,1989-05-01,64.04,185.96,5,1,0,0,0,0,1,2396507,9780444402097,English,"Technology, Engineering"
The Sporting Bull Terrier (Vintage Dog Books Breed Classic - American Pit Bull Terrier),Eugene Glass,108,Read Books,2005-08-02,38.57,7.73,5,1,0,0,0,0,1,9781905124794,9781905124794,English,"Technology, Engineering"
Can Humans Live in Mars? Astronomy Book for Kids Grade 4 Children's Astronomy & Space Books,Baby Professor,72,Baby Professor,2019-08-01,23.78,5.52,5,1,0,0,0,0,1,9781541975576,9781541975576,English,"Technology, Engineering"
Can Humans Live in Mars? Astronomy Book for Kids Grade 4 Children's Astronomy & Space Books,Baby Professor,72,Baby Professor,2019-11-22,15.03,5.87,5,1,0,0,0,0,1,9781541953321,9781541953321,English,"Technology, Engineering"
Coffee with Barbie Doll,"Sandra ""Johnsie"" Bryan",160,Schiffer Publishing Ltd,1998-07-01,20.80,0.20,4,4,0,0,1,2,1,1255500,9780764304125,English,"Technology, Engineering"
